ablation,entropy,representation,training_steps,avg_reward,std_reward,success_rate,std_success,avg_path_length,avg_connectivity,avg_empty_ratio,seed_rewards,seed_success,seed_paths
no_connectivity,0.05,narrow,1000000,474.46545000000003,6.52505000000005,0.395,0.04500000000000001,18.27922077922078,0.8217329201423345,0.6744000000000001,"[467.94039999999995, 480.99050000000005]","[0.35, 0.44]","[18.285714285714285, 18.272727272727273]"
no_connectivity,0.05,wide,1000000,580.3781500000001,25.033450000000016,0.29500000000000004,0.014999999999999986,18.268433179723502,0.8105743766864315,0.6376000000000001,"[555.3447000000001, 605.4116000000001]","[0.31, 0.28]","[18.322580645161292, 18.214285714285715]"
no_corridor,0.01,narrow,50000,1688.4275241556015,19.9218336741377,0.89,0.0,18.1123595505618,0.9834332318404478,0.80835,"[1668.505690481464, 1708.3493578297393]","[0.89, 0.89]","[18.15730337078652, 18.06741573033708]"
no_corridor,0.01,wide,50000,530.8751694767736,10.540983860429378,0.235,0.05499999999999999,18.24904214559387,0.7514529199185083,0.611,"[541.416153337203, 520.3341856163443]","[0.18, 0.29]","[18.22222222222222, 18.275862068965516]"
no_corridor,0.01,narrow,100000,1606.7315052950041,3.984287837758302,0.77,0.040000000000000036,18.102824285472686,0.9519634035337063,0.7746999999999999,"[1602.7472174572458, 1610.7157931327624]","[0.73, 0.81]","[18.08219178082192, 18.123456790123456]"
no_corridor,0.01,wide,100000,831.4364459415442,1.0093955227287665,0.355,0.065,18.082101806239738,0.8611161133030143,0.6555000000000002,"[832.4458414642729, 830.4270504188154]","[0.29, 0.42]","[18.06896551724138, 18.095238095238095]"
no_corridor,0.01,narrow,200000,1465.7037223739617,146.56627352990267,0.75,0.10999999999999999,18.046875,0.949946461187627,0.7939499999999999,"[1319.137448844059, 1612.2699959038644]","[0.64, 0.86]","[18.09375, 18.0]"
no_corridor,0.01,wide,200000,1159.4245059249313,32.576204777643625,0.455,0.07500000000000001,18.045183714001986,0.9409453645855983,0.7093,"[1192.000710702575, 1126.8483011472877]","[0.38, 0.53]","[18.05263157894737, 18.037735849056602]"
no_corridor,0.01,narrow,500000,1616.9191705554413,41.39286438499391,0.8600000000000001,0.06,18.0125,0.9898228181437528,0.8482999999999999,"[1658.3120349404353, 1575.5263061704475]","[0.92, 0.8]","[18.0, 18.025]"
no_corridor,0.01,wide,500000,1413.7790338021746,32.58143308180752,0.535,0.07499999999999998,18.114397719173198,0.9576570345926256,0.72515,"[1446.360466883982, 1381.197600720367]","[0.46, 0.61]","[18.130434782608695, 18.098360655737704]"
no_corridor,0.01,narrow,1000000,1513.6943531061936,21.17023285266714,0.7849999999999999,0.05499999999999999,18.011904761904763,0.9842360862625763,0.8402,"[1534.8645859588607, 1492.5241202535265]","[0.84, 0.73]","[18.023809523809526, 18.0]"
no_corridor,0.01,wide,1000000,1384.8693345109095,17.238948993577424,0.685,0.05499999999999999,18.11754611754612,0.957081513243633,0.73295,"[1367.6303855173321, 1402.108283504487]","[0.63, 0.74]","[18.126984126984127, 18.10810810810811]"
no_corridor,0.05,narrow,50000,1464.5104658218906,11.501854834472738,0.75,0.020000000000000018,18.121152819782957,0.9537926762596526,0.7617500000000001,"[1453.008610987418, 1476.0123206563635]","[0.77, 0.73]","[18.07792207792208, 18.164383561643834]"
no_corridor,0.05,wide,50000,432.8000914257045,5.031804989124026,0.22,0.04000000000000001,18.65811965811966,0.7103010498472349,0.59545,"[427.7682864365805, 437.8318964148286]","[0.18, 0.26]","[18.77777777777778, 18.53846153846154]"
no_corridor,0.05,narrow,100000,1336.7905323374582,101.63514853806123,0.625,0.05500000000000005,18.044117647058826,0.9054518730306285,0.74335,"[1235.155383799397, 1438.4256808755194]","[0.57, 0.68]","[18.0, 18.08823529411765]"
no_corridor,0.05,wide,100000,638.0245740134258,87.43546055718093,0.38,0.020000000000000018,18.025,0.7971946514284536,0.6329499999999999,"[725.4600345706067, 550.5891134562448]","[0.4, 0.36]","[18.05, 18.0]"
no_corridor,0.05,narrow,200000,1490.2759118576546,88.9716995975624,0.725,0.025000000000000022,18.17904761904762,0.9552457601004938,0.76285,"[1579.2476114552169, 1401.304212260092]","[0.7, 0.75]","[18.17142857142857, 18.186666666666667]"
no_corridor,0.05,wide,200000,852.9811198106506,54.29083758729723,0.44,0.08000000000000002,18.13247863247863,0.8774129569668856,0.6685000000000001,"[907.2719573979479, 798.6902822233534]","[0.36, 0.52]","[18.11111111111111, 18.153846153846153]"
