ablation,entropy,representation,training_steps,avg_reward,std_reward,success_rate,std_success,avg_path_length,avg_connectivity,avg_empty_ratio,seed_rewards,seed_success,seed_path
no_distance,0.01,narrow,500000,540.8838449999998,5.325225000000046,0.7,0.010000000000000009,20.666054296795267,0.7,0.7310000000000001,"[546.2090699999999, 535.5586199999998]","[0.71, 0.69]","[21.04225352112676, 20.28985507246377]"
no_distance,0.01,wide,500000,525.9963049999998,15.052324999999996,0.61,0.07999999999999996,20.73967733114575,0.61,0.6762,"[510.9439799999998, 541.0486299999998]","[0.53, 0.69]","[20.754716981132077, 20.72463768115942]"
no_distance,0.01,narrow,1000000,535.8043999999998,4.74329999999992,0.69,0.009999999999999953,19.837394957983193,0.69,0.7479500000000001,"[540.5476999999996, 531.0610999999998]","[0.7, 0.68]","[20.057142857142857, 19.61764705882353]"
no_distance,0.01,wide,1000000,533.5669949999999,3.425755000000038,0.745,0.015000000000000013,20.649963950973323,0.745,0.6917000000000002,"[530.1412399999998, 536.9927499999999]","[0.76, 0.73]","[20.36842105263158, 20.931506849315067]"
no_distance,0.05,narrow,50000,252.96897999999993,15.40373000000001,0.195,0.015,22.015873015873016,0.195,0.59325,"[268.3727099999999, 237.5652499999999]","[0.21, 0.18]","[21.80952380952381, 22.22222222222222]"
no_distance,0.05,wide,50000,238.03188499999996,2.6731550000000084,0.08,0.009999999999999995,19.20634920634921,0.08,0.53865,"[240.70503999999997, 235.35872999999995]","[0.09, 0.07]","[19.555555555555557, 18.857142857142858]"
no_distance,0.05,narrow,100000,349.82831999999985,18.032970000000006,0.37,0.0,19.7027027027027,0.37,0.6476500000000001,"[331.79534999999987, 367.8612899999999]","[0.37, 0.37]","[20.10810810810811, 19.2972972972973]"
no_distance,0.05,wide,100000,263.7379249999999,15.537875,0.11,0.020000000000000004,20.188034188034187,0.11,0.5582499999999999,"[248.2000499999999, 279.2757999999999]","[0.09, 0.13]","[20.22222222222222, 20.153846153846153]"
no_distance,0.05,narrow,200000,391.1793099999999,52.70074000000005,0.42,0.04999999999999999,20.356526739505462,0.42,0.6594,"[338.4785699999998, 443.8800499999999]","[0.37, 0.47]","[21.35135135135135, 19.361702127659573]"
no_distance,0.05,wide,200000,337.55685499999987,4.5257349999999406,0.18,0.009999999999999995,20.024767801857585,0.18,0.5890500000000001,"[333.03111999999993, 342.0825899999998]","[0.17, 0.19]","[20.470588235294116, 19.57894736842105]"
